Year;Female;Male;Total
1908;42.35;40.50;41.41
1909;42.09;39.94;41.00
1910;42.02;39.71;40.84
1911;40.77;38.86;39.79
1912;44.39;42.52;43.43
1913;43.59;41.67;42.61
1914;43.70;41.89;42.78
1915;44.01;42.22;43.09
1916;44.89;42.98;43.91
1917;43.58;41.66;42.60
1918;30.80;29.94;30.36
1919;42.15;39.78;40.95
1920;40.50;38.31;39.38
1921;43.23;40.79;41.99
1922;45.45;43.00;44.20
1923;46.02;43.51;44.75
1924;47.80;44.85;46.30
1925;48.49;45.51;46.98
1926;49.22;46.22;47.70
1927;50.01;46.99;48.48
1928;50.11;47.15;48.62
1929;51.16;47.85;49.49
1930;51.11;47.44;49.25
1931;51.07;47.55;49.28
1932;52.85;49.47;51.14
1933;53.30;49.92;51.60
1934;54.09;50.39;52.22
1935;54.60;50.73;52.65
1936;55.57;46.89;51.01
1937;52.26;42.91;47.32
1938;52.17;43.46;47.60
1939;51.80;43.11;47.23
1940;52.64;44.89;48.63
1941;51.47;43.47;47.25
1942;55.33;49.26;52.26
1943;57.63;52.14;54.89
1944;59.24;53.30;56.27
1945;60.55;54.99;57.79
1946;60.65;54.56;57.59
1947;61.66;56.55;59.13
1948;63.92;58.61;61.31
1949;63.50;58.32;60.94
1950;64.16;59.29;61.78
1951;63.83;59.10;61.50
1952;67.03;62.55;64.85
1953;67.90;63.49;65.76
1954;69.08;64.63;66.93
1955;68.94;64.38;66.73
1956;69.03;64.39;66.76
1957;68.90;64.16;66.58
1958;71.07;66.40;68.81
1959;71.07;66.24;68.72
1960;71.66;66.67;69.23
1961;71.96;67.08;69.59
1962;72.07;67.08;69.63
1963;72.36;67.12;69.79
1964;73.13;67.78;70.51
1965;73.56;68.17;70.93
1966;73.78;68.46;71.18
1967;74.06;68.57;71.37
1968;74.37;68.87;71.67
1969;73.88;68.34;71.15
1970;74.87;69.32;72.15
1971;74.56;68.84;71.74
1972;75.64;70.15;72.95
1973;75.52;69.85;72.73
1974;75.93;70.17;73.09
1975;73.44;70.53;76.25
1976;73.76;70.81;76.61
1977;74.24;71.27;77.12
1978;74.44;71.41;77.37
1979;74.91;71.81;77.91
1980;75.44;72.36;78.41
1981;75.61;72.51;78.63
1982;76.22;73.15;79.19
1983;76.02;72.94;79
1984;76.39;73.18;79.51
1985;76.34;73.08;79.54
1986;76.61;73.4;79.75
1987;76.84;73.55;80.07
1988;76.86;73.52;80.15
1989;76.9;73.42;80.36
1990;76.91;73.4;80.41
1991;77.07;73.49;80.65
1992;77.51;73.89;81.14
1993;77.66;74.09;81.23
1994;78.03;74.47;81.6
1995;78.12;74.53;81.72
1996;78.26;74.66;81.88
1997;78.76;75.29;82.23
1998;78.87;75.42;82.31
1999;78.87;75.43;82.32
2000;79.34;75.93;82.73
2001;79.67;76.27;83.05
2002;79.76;76.38;83.14
2003;79.7;76.41;82.99
2004;80.29;76.98;83.57
2005;80.28;77.02;83.54
2006;80.94;77.71;84.15
2007;80.97;77.78;84.14
2008;81.3;78.22;84.33
2009;81.66;78.62;84.65
2010;82.07;79.05;85.03
2011;82.25;79.3;85.13
2012;82.27;79.37;85.1
2013;82.78;79.94;85.54
2014;82.92;80.12;85.64
2015;82.7;79.92;85.41
2016;83.11;80.31;85.84
2017;83.09;80.37;85.73
2018;83.19;80.46;85.85
2019;83.58;80.86;86.22
2020;82.33;79.59;85.06
